字段名称,数据类型,显示顺序,栏位名称,表或者视图名称,ID
DepartmentName,nvarchar,1,组织名称,V_APS_UserOnlineCount,38398
SupplierType,nvarchar,1,类别,Dev_Supplier,39231
ApplyDate,datetime,1,申请日期,APS_ProductCheck_JDY,39335
Workshop,nvarchar,1,车间,APS_ToolingRegister_JDY,39803
CreatedOn,datetime,1,创建时间,V_APS_ManualForecastDetail,39815
MaterialName,nvarchar,1,物料名称,V_APS_ProcessMaterial,40738
ObjectName,varchar,1,对象名称,Dev_Dictionary,332
DataSourceID,varchar,1,数据源,Dev_DataSource,566
LineName,nvarchar,1,产线,V_APS_Report10,23827
WorkShopName,nvarchar,1,车间,V_APS_OrganizeWorkingTimesDetail,25141
SourceOrderNo,varchar,1,销售订单,V_APS_PrepareView4,14160
SourceOrderNo,varchar,1,销售单,V_APS_Report17,14968
PlanDay,datetime,1,排产日期,V_APS_Report19,36612
Code,varchar,1,物料编码,V_APS_PrepareView26,30198
OweDay,datetime,1,要求齐料,V_APS_OrderPlanMaterialFormByItem1,28583
PlanStartDate,datetime,1,要求齐料,V_APS_Report1,27694
ProcessName,nvarchar,1,工序,V_APS_MOPlanStep1V2,35949
ProcessName,nvarchar,1,工序,V_APS_MOPlanStep4V9,35999
OrderDate,datetime,1,下单时间,V_APS_Orderfinish,36113
OrganizeName,nvarchar,1,组织名称,V_Dev_OrganizeProcess,35072
DocNo,varchar,1,单据编号,V_APS_Report49,35530
ProcessName,nvarchar,1,工序,V_ProcessOrganizeMap,34453
ButtonMenuMapID,int,1,按钮关系ID,V_APS_Report58,33749
DeliveryDate,datetime,1,订单交期,V_APS_Report21,28388
SourceOrderNo,varchar,1,销售订单,V_APS_OrderInfo,27567
ERPEndDate,datetime,1,日期,V_APS_PrepareView10,29147
ERPEndDate,datetime,1,日期,V_APS_PrepareView8,29148
ERPEndDate,datetime,1,日期,V_APS_PrepareView9,29149
MaterialType,nvarchar,1,类型,V_APS_MaterialLadderLossConfig,36324
MaterialProp,nvarchar,1,属性,V_APS_MaterialLadderLossRelated,36426
OrganizeID,int,1,组织ID,APS_MaterialLadderLossConfig,36283
OrganizeID,int,1,组织ID,APS_MaterialLadderLossRelated,36304
S1,decimal,1,排产数,V_APS_Report48,37191
ID,bigint,1,ID,APS_ManualForecastDetail,37921
CustomerName,nvarchar,1,客户,V_APS_SalesOrderDeliveryReplyInfo,36833
ProductOrganizeName,nvarchar,1,生产组织,V_APS_SalesOrderDetailDelivery,36998
OrganizeID,int,1,组织ID,APS_MaterialBalanceHistory,37961
OrganizeID,int,1,组织ID,APS_MaterialBalanceTotalHistory,37988
ID,bigint,1,ID,APS_ProcessMaterialHistory,38009
ERPEndYearMonth,nvarchar,1,月份,V_APS_OrderAchievedRate,37865
ID,bigint,1,ID,APS_OrganizeDemandOrder,38176
AllUnIssuedQty,decimal,1,需求汇总,V_APS_MaterialBalanceHistoryReason,38054
LineName,nvarchar,1,生产线,V_APS_PrepareView11,38139
Code,varchar,1,物料编码,V_APS_PrepareView25,14481
Name,nvarchar,1,姓名,V_Dev_AccountRole,19146
ParentCode,varchar,1,上级编码,V_APS_MaterialBOM,21123
ProductionDate,datetime,1,报工日期,V_APS_Report29,24304
OrderNo,varchar,1,生产单号,V_APS_OrderForm,25303
